	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
48	NOM	MOD	NOM	P-C	65727	AlwlAyAt ... AlmtHdp	الولايات ... المتحدة	529		OK	OK		1945 - الولايات المتحدة تقوم ب+ اختبار أول قنبلة نووية في نيومكسيكو .		P-C	541024	91.6%	#Head first :-)		final type	counts	percent
46	NOM	IDF	NOM	P-C	61993	wzyr ... AlxArjyp	وزير ... الخارجية	226		OK	OK		1995 - وزير الخارجية السعودي الأمير سعود الفيصل يعلن تطبيع العلاقات الدبلوماسية بين السعودية و+ الأردن بعد قطيعة دامت خمس سنوات .		C-P	49795	8.4%			OK	584337	0.9890287889
84	PRT	OBJ	NOM	P-C	40280	mn ... dwn	من ... دون	262		OK	OK		و+ كان عرفات زار بعد فشل قمة كامب ديفيد في 25 تموز / يوليو عشرين من دون أن يحظى على ما يبدو ب+ دعم حاسم ل+ مشروع إعلان الدولة الفلسطينية .			590819				NO WAY	6482	0.01097121115
93	PRT#	OBJ	NOM	P-C	35422	k+ ... *lk	ك+ ... ذلك	228		OK	OK		و+ يغيب عن المنتخب الألماني قائد +ه أوليفر بيرهوف الذي لم يشف تماما من إصابة تعرض ل +ها خلال بطولة أوروبا , و+ ك+ ذلك لاعب وسط بايرن ميونيخ ينز يريميز الذي س+ يبتعد شهرين عن الملاعب ل+ إصابة في أربطة الركبة .							total	590819	
333	NOM	MOD	PRT#	P-C	27527	Alty ... w+	التي ... و+	222		OK	OK		و+ اختار مدرب فرنسا روجيه لومير التشكيلة ذات +ها التي خاضت نهائيات كأس أوروبا و+ أحرزت اللقب ب+ فوز +ها على إيطاليا ب+ الهدف الذهبي 2-1 .		P-C	541024	91.6%	92%				
282	NOM	MOD	PRT	P-C	26828	>kvr ... mn	أكثر ... من	335		OK	OK		و+ كان مصدر رسمي أعلن اليوم السبت تحرير عناصر القوة الدولية ال 233 المحاصرين منذ أكثر من شهرين من قبل المتمردين شرق سيراليون و+ ذلك نتيجة تدخل عسكري ل+ بعثة الأمم المتحدة إلى سيراليون .		C-P	49795	8.4%	8%				
201	VRB	MOD	PNX-B	P-C	19846	qAl ... .	قال ... .	914		OK	OK		و+ قال طلاس " لم أسمع يوما ( من حافظ الأسد ) أي وصية شفهية أو كتابية يطلب في +ها أن يكون بشار رئيسا ل+ الجمهورية من بعد +ه " .		Root-C	0	0.0%					
313	VRB	MOD	PRT	P-C	19826	>$Ar ... <lY	أشار ... إلى	182		OK	OK		و+ لكن +ه أشار إلى أن +ه " يتعين على هذه العناصر التابعة ل+ الأمم المتحدة أن يقطعوا بعد مسافة طويلة في منطقة صعبة يسيطر على +ها متمردون من الجبهة الثورية الموحدة قبل الوصول إلى أقرب قاعدة ل+ الأمم المتحدة في دارو " ( شرق ) و+ حذر المتمردين من أن مصلحة +هم تقتضي ب+ عدم اعتراض هذا الجهد المشروع " كما أعرب عن أمل +ه " في تفادي أعمال عنف جديدة " ب+ حسب البيان .			590819						
101	VRB	OBJ	NOM	P-C	13409	>lqY ... klmp	ألقى ... كلمة	45		OK	OK		و+ ألقى العماد سليمان كلمة شكر في +ها جهود لحود في مفوضية الحكومة لدى المحكمة العسكرية , مشيرا إلى أن +ه " يتحدر									
1	NOM	IDF	#NOM	P-C	13373	nfs ... +h	نفس ... +ه	250		OK	OK		1998 - صنعاء تتهم الرياض ب+ احتلال مناطق حدودية . السعوديون أكدوا في 21 من الشهر ذات +ه حصول " حوادث " أدت إلى مقتل ثلاثة يمنيين و+ إصابة تسعة آخرين ب+ جروح . و+ في 27 من الشهر نفس +ه , تفاهم البلدان على إجراءات ل+ منع تكرار مثل هذه الحوادث .									
105	VRB	SBJ	NOM	P-C	13282	>Eln ... wzyr	أعلن ... وزير	50		OK	OK		سوريا / سياسة - أعلن وزير الدفاع السوري العماد أول مصطفى طلاس أن الرئيس السوري الراحل حافظ الأسد لم يترك " وصية كتابية أو شفهية " ب+ تولي ابن +ه بشار الرئيس الجديد الحكم من بعد +ه .									
366	ROOT	---	VRB	P-C	13044	--- ... qAl	--- ... قال	912		OK	OK											
354	VRB	MOD	PRT#	P-C	12717	kAn ... w+	كان ... و+	173		OK	OK		و+ كان مصدر رسمي أعلن اليوم السبت تحرير عناصر القوة الدولية ال 233 المحاصرين منذ أكثر من شهرين من قبل المتمردين شرق سيراليون و+ ذلك نتيجة تدخل عسكري ل+ بعثة الأمم المتحدة إلى سيراليون .									
100	VRB	MOD	NOM	P-C	12598	>Eln ... Alywm	أعلن ... اليوم	65		OK	OK		و+ كان مصدر رسمي أعلن اليوم السبت تحرير عناصر القوة الدولية ال 233 المحاصرين منذ أكثر من شهرين من قبل المتمردين شرق سيراليون و+ ذلك نتيجة تدخل عسكري ل+ بعثة الأمم المتحدة إلى سيراليون .									
353	VRB	MOD	PRT#	C-P	11211	w+ ... qAl	و+ ... قال	820		OK	OK		و+ قال طلاس " لم أسمع يوما ( من حافظ الأسد ) أي وصية شفهية أو كتابية يطلب في +ها أن يكون بشار رئيسا ل+ الجمهورية من بعد +ه " .									
370	NOM	MOD	VRB	P-C	11011	Al*y ... kAn	الذي ... كان	100		OK	OK		و+ تابع الوزير الذي كان يرد على أسئلة الإذاعة من كندا التي يزور +ها حاليا " إن الطرفين يعرفان ب+ شأن مسألة القدس و+ اللاجئين أيضا , إلى أين يتجهان و+ أين هي الخطوط الحمر ل+ كل طرف " .									
227	PROP	---	PROP	P-C	10500	<f ... b	إف ... ب	229		OK	OK		نيويورك ( الأمم المتحدة ) 15-7 ( إف ب ) - حذر الأمين العام ل+ الأمم المتحدة كوفي أنان اليوم السبت المتمردين السيراليونيين من اعتراض +هم عملية المنظمة الدولية ل+ إطلاق سراح جميع الجنود ألدولين ال 233 .									
208	NOM	IDF	PROP	P-C	8290	mE ... <srA}yl	مع ... إسرائيل	87		OK	OK		و+ سبق ل+ عرفات في نيسان / أبريل 1999 أن زار هانوي التي كانت على الدوام تعرب عن مواقف مؤيدة ل+ القضية الفلسطينية مع سعي +ها إلى تنمية علاقات +ها الاقتصادية مع إسرائيل .									
185	NOM	MOD	PNX-B	P-C	7850	r}ys ... ,	رئيس ... ,	55		OK	OK		و+ قال رئيس البعثة الخاصة ل+ الأمم المتحدة حول أفغانستان و+ مقر +ها في طهران , جان بيار كاستيلا " لا بد من التحلي ب+ الثقة و+ وقف المعارك بين الأشقاء و+ الوصول إلى حل وسط بين جميع الأطراف " .									
14	PRT	SBJ	#NOM	P-C	2284	>n ... +h	أن ... +ه	949		OK	#N/A		و+ لكن +ه أشار إلى أن +ه " يتعين على هذه العناصر التابعة ل+ الأمم المتحدة أن يقطعوا بعد مسافة طويلة في منطقة صعبة يسيطر على +ها متمردون من الجبهة الثورية الموحدة قبل الوصول إلى أقرب قاعدة ل+ الأمم المتحدة في دارو " ( شرق ) و+ حذر المتمردين من أن مصلحة +هم تقتضي ب+ عدم اعتراض هذا الجهد المشروع " كما أعرب عن أمل +ه " في تفادي أعمال عنف جديدة " ب+ حسب البيان .									
312	VRB	MOD	PRT	C-P	6265	lA ... ymkn	لا ... يمكن	130		OK	OK		و+ تعتبر إسرائيل القدس " عاصمة +ها الموحدة التي لا يمكن تقسيم +ها " فيما يريد الفلسطينيون الشطر الشرق ل+ المدينة الذي ضمة +ه إسرائيل عام 1967 عاصمة ل +هم .									
396	PRT#	OBJ	VRB	P-C	5754	w+ ... qAl	و+ ... قال	120		OK	OK		و+ أمس الاثنين هددت مجموعات من المتمردين المسلمين في كشمير ب+ شن هجمات على الهند في يوم الاستقلال . و+ قال المتحدث ب+ اسم حزب المجاهدين أكبر حركات التمرد الإسلامي " س+ نشن هجمات شرسة و+ كبيرة على التجمعات العسكرية في كشمير المحتلة حتى نجعل من يوم الاستقلال يوما ل+ الدمار " .									
88	PRT	SBJ	NOM	P-C	5724	lA ... bd	لا ... بد	69		OK	OK		و+ لكن ثمة سؤال لا بد من طرح +ه : هل س+ يختفي الكتاب ? . ردا على هذا السؤال , توقع ديك براس أن " تزداد ندرة الورق " . أما الناشر جاك رومانوس ف+ قال أن " الجيل الراهن من القراء س+ يترك المكان خلال 20 عاما ل+ جيل الكتاب الإلكتروني " . لكن أحدا لا يجازف في التكهن ب+ سيناريو أكثر دقة .									
240	PRT	OBJ	PROP	P-C	5548	fy ... lbnAn	في ... لبنان	300		OK	OK		و+ قد راحت العائلات الفلسطينية في لبنان و+ إسرائيل بعد انسحاب القوات الإسرائيلية من جنوب لبنان في 24 أيار / مايو الماضي تتوجه إلى جانبي الحدود ل+ كي تلتقي , لكن الجيش الإسرائيلي منع مثل هذه اللقاءات بعد وقوع عدد من الصدامات عند الأسلاك الشائكة على الحدود .									
390	PRT	OBJ	VRB	P-C	4686	>n ... ykwn	أن ... يكون	175		OK	OK		و+ قال طلاس " لم أسمع يوما ( من حافظ الأسد ) أي وصية شفهية أو كتابية يطلب في +ها أن يكون بشار رئيسا ل+ الجمهورية من بعد +ه " .									
12	PRT	OBJ	#NOM	P-C	4674	fy ... +hA	في ... +ها	527		OK	OK		و+ قال طلاس " لم أسمع يوما ( من حافظ الأسد ) أي وصية شفهية أو كتابية يطلب في +ها أن يكون بشار رئيسا ل+ الجمهورية من بعد +ه " .									
391	PRT	PRD	VRB	P-C	4653	>n ... kAn	أن ... كان	105		OK	OK		و+ أوضح مسؤولون وصلوا إلى المكان أن سبعة أشخاص قتلوا على الفور فيما توفي الثلاثة الآخرون في المستشفى . و+ ذكر أحد الشهود أن الانفجار كان قويا إلى درجة أن +ه قذف ب+ جثة إحدى الضحايا مسافة خمسين مترا خارج العربة .									
302	PRT	OBJ	PRT	P-C	1733	<lY ... >n	إلى ... أن	599		OK	#N/A		و+ لكن +ه أشار إلى أن +ه " يتعين على هذه العناصر التابعة ل+ الأمم المتحدة أن يقطعوا بعد مسافة طويلة في منطقة صعبة يسيطر على +ها متمردون من الجبهة الثورية الموحدة قبل الوصول إلى أقرب قاعدة ل+ الأمم المتحدة في دارو " ( شرق ) و+ حذر المتمردين من أن مصلحة +هم تقتضي ب+ عدم اعتراض هذا الجهد المشروع " كما أعرب عن أمل +ه " في تفادي أعمال عنف جديدة " ب+ حسب البيان .									
152	NOM	MOD	PNX-AB	P-C	4527	Al<xwAn ... "	الإخوان ... "	80		OK	OK		أفاد مصدر في الشرطة المصرية أمس أن قوى الأمن اعتقلت ثلاثة كوادر من جماعة " الإخوان المسلمين " في الإسكندرية ب+ تهمة " محاولة إعادة إحياء التنظيم المحظور " و+ إقامة " تجمعات غير مشروعة " .									
