index	target_field	lex	catib_pos	mada_pos	parent_lex	parent_catib_pos	parent_mada_pos	rel	order	target_value_long	target_value_short	exact_matches
1	REL	*	*	*	*	NOM	*	SBJ	C-P	مبتدأ خبر	مبتدأ	3
2	REL	*	*	*	*	PROP	*	SBJ	C-P	مبتدأ خبر	مبتدأ	3
3	REL	*	*	*	kAn	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
4	REL	*	*	*	>aSobaH	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
5	REL	*	*	*	>aDoHaY	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
6	REL	*	*	*	>amosaY	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
7	REL	*	*	*	Zal~-a	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
8	REL	*	*	*	bAt	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
9	REL	*	*	*	SAr	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
10	REL	*	*	*	layosa	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
11	REL	*	*	*	zAl	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
12	REL	*	*	*	dAm	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ	5
13	REL	*	*	*	*	VRB	verb	SBJ	C-P	مبتدأ فاعل	مبتدأ	4
14	REL	*	*	*	*	VRB-PASS	verb	SBJ	C-P	مبتدأ نائب فاعل	مبتدأ	4
15	REL	*	*	*	>an~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
16	REL	*	*	*	<in~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
17	REL	*	*	*	EasaY	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
18	REL	*	*	*	Eal~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
19	REL	*	*	*	ka>an~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
20	REL	*	*	*	laA	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
21	REL	*	*	*	laEal~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ	5
