index	target_field	lex	catib_pos	mada_pos	parent_lex	parent_catib_pos	parent_mada_pos	rel	order	target_value_short	target_value_long	مثال	select	Selected Examples	ملاحظات واقتراحات	exact_matches
1	REL	*	*	*	*	*	*	TPC	C-P	مبتدأ	مبتدأ لخبر	^الطلاب أم +هم *تعمل في البيت	X	الطلاب أمهم تعمل في البيت		2
2	REL	*	*	*	*	*	*	TPC	P-C	مبتدأ	مبتدأ لخبر	 أم +هم *تعمل في البيت ، ^الطلاب	X	 أمهم تعمل في البيت ، الطلاب		2
3	REL	*	*	*	*	NOM	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطالب *مجتهد	X	الطالب مجتهد		3
4	REL	*	*	*	*	PROP	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^هذا *زيد	X	هذا زيد		3
5	REL	*	*	*	kAn	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *كانوا في البيت	X	الطلاب كانوا في البيت		4
6	REL	*	*	*	>aSobaH	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *أصبحوا في البيت				4
7	REL	*	*	*	>aDoHaY	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *أضحوا في البيت				4
8	REL	*	*	*	>amosaY	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *أمسوا في البيت				4
9	REL	*	*	*	Zal~-a	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *ظلوا في البيت				4
10	REL	*	*	*	bAt	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *باتوا في البيت				4
11	REL	*	*	*	SAr	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *صاروا في البيت				4
12	REL	*	*	*	layosa	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *ليسوا في البيت				4
13	REL	*	*	*	zAl	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب ما *زالوا في البيت				4
14	REL	*	*	*	mAdAm	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الحق *مادام واضحا ف+ الواجب اتباع +ه 				4
15	REL	*	*	*	*	VRB	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *يدرسون في البيت	X	الطلاب يدرسون في البيت		3
16	REL	*	*	*	*	VRB-PASS	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *يُعاقَبون يوميا	X	الطلاب يُعاقَبون يوميا		3
17	REL	*	*	*	>an~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *أن +هم مجتهدون				4
18	REL	*	*	*	<in~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *إن +هم مجتهدون				4
19	REL	*	*	*	EasaY	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *عسى +هم مجتهدون				4
20	REL	*	*	*	Eal~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *علّ +هم مجتهدون				4
21	REL	*	*	*	ka>an~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *كأن +هم مجتهدون				4
22	REL	*	*	*	laA	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *لا رأي ل +هم				4
23	REL	*	*	*	laEal~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *لعلّ +هم مجتهدون				4
24	REL	*	*	*	layota	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *ليت +هم مجتهدون				4
25	REL	*	*	*	la`kin~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطلاب *لكن +هم مجتهدون				4
26	REL	*	*	*	*	PRT	*	SBJ	C-P	مبتدأ	مبتدأ لخبر	^الطالب *في البيت	X	الطالب في البيت		3
27	REL	*	*	*	*	NOM	*	SBJ	P-C	مبتدأ	مبتدأ لخبر	*في البيت ^ولد	X	في البيت ولد		3
28	REL	*	*	*	*	PROP	*	SBJ	P-C	مبتدأ	مبتدأ لخبر	*مجتهد ^زيد				3
29	REL	*	*	*	kAn	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*كان ^الولد مجتهدا	X	كان الولد مجتهدا		4
30	REL	*	*	*	>aSobaH	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*أصبح ^الولد مجتهدا				4
31	REL	*	*	*	>aDoHaY	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*أضحى ^الولد مجتهدا				4
32	REL	*	*	*	>amosaY	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*أمسى ^الولد مجتهدا				4
33	REL	*	*	*	Zal~-a	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*ظل ^الولد مجتهدا				4
34	REL	*	*	*	bAt	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*بات ^الولد مجتهدا				4
35	REL	*	*	*	SAr	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*صار ^الولد مجتهدا				4
36	REL	*	*	*	layosa	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*ليس ^الولد مجتهدا				4
37	REL	*	*	*	zAl	VRB	*	SBJ	P-C	اسم	اسم لناسخ	ما *زال ^الولد مجتهدا				4
38	REL	*	*	*	mAdAm	VRB	*	SBJ	P-C	اسم	اسم لناسخ	*مادام ^الولد مجتهدا				4
39	REL	*	*	*	*	VRB	*	SBJ	P-C	فاعل	فاعل	*كتب ^الولد الدرس	X	كتب الولد الدرس		3
40	REL	*	*	*	*	VRB-PASS	*	SBJ	P-C	نائب فاعل	نائب فاعل	*كُتِب ^الدرس	X	كُتِب الدرس		3
41	REL	*	*	*	>an~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*أن ^الولد مجتهد	X	أن الولد مجتهد		4
42	REL	*	*	*	<in~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*إن ^الولد مجتهد				4
43	REL	*	*	*	EasaY	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*عسى ^+ك تجتهد				4
44	REL	*	*	*	Eal~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*علّ ^الولد يجتهد				4
45	REL	*	*	*	ka>an~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*كأن ^الولد مجتهد				4
46	REL	*	*	*	laA	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*لا ^طالب كسول				4
47	REL	*	*	*	laEal~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*لعل ^الولد يجتهد				4
48	REL	*	*	*	layota	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*ليت ^الولد يجتهد				4
49	REL	*	*	*	la`kin~a	PRT	*	SBJ	P-C	اسم	اسم لناسخ	*لكن ^الولد مجتهد				4
50	REL	*	*	*	*	PRT	*	SBJ	P-C	مبتدأ	مبتدأ لخبر	*في البيت ^رجل	X	في البيت رجل		3
51	REL	*	*	*	*	PRT	conj	OBJ	P-C	معطوف	معطوف	ركض محمد *و+ ^زيد حول الملعب	X	ركض محمد وزيد حول الملعب		4
52	REL	*	*	*	*	PRT	prep	OBJ	P-C	مجرور	مجرور	الولد *في ^البيت	X	الولد في البيت		4
53	REL	*	*	*	*	VRB	verb	OBJ	*	مفعول به	مفعول به	*كتب الطالب ^الدرس	X	كتب الطالب الدرس		3
54	REL	*	*	*	*	VRB-PASS	verb	OBJ	*	مفعول به	مفعول به	*أُعطي الطالبُ ^كتابا				3
66	REL	*	*	*	*	NOM	adj	OBJ	P-C	متعلق	مفعول به	كنتُ *حاضرا ^درس +ه	X	كنتُ حاضرا درسه		4
55	REL	*	*	*	*	PRT	conj_sub	OBJ	P-C	مرتبط	مرتبط	جاء الطالب *ل+ ^يشارك	X	جاء الطالب ليشارك	دخول اللام الجارة على الفعل يعمل على جر (المصدر المؤول)	4
	REL	*	*	*	*	PRT	conj_sub	OBJ	P-C	مرتبط	جملة شرط	*إن ^تجتهد تنجح	X	إن تجتهد تنجح		4
	REL	<i*A	PRT	conj_sub	*	VRB	*	MOD	*		شرط	^إذا تجتهد *تنجح				5
	REL	<i*o	PRT	conj_sub	*	VRB	*	MOD	*		شرط	^إذ تجتهد *تنجح				5
	REL	<ino	PRT	conj_sub	*	VRB	*	MOD	*		شرط	^إن تجتهد *تنجح				5
	REL	lawo	PRT	conj_sub	*	VRB	*	MOD	*		شرط	^لو تجتهد *تنجح				5
